Alue,Vuosi,Kesämökkejä (lkm)
Ikaalinen,1995,1948
Ikaalinen,2000,2177
Ikaalinen,2005,2230
Ikaalinen,2010,2315
Ikaalinen,2015,2426
Ikaalinen,2020,2223
Ikaalinen,2021,2221
Ikaalinen,2022,2226
Ilmajoki,1970,97
Ilmajoki,1980,93
Ilmajoki,1990,265
Ilmajoki,1995,290
Ilmajoki,2000,404
Ilmajoki,2005,386
Ilmajoki,2010,380
Ilmajoki,2015,373
Ilmajoki,2020,296
Ilmajoki,2021,284
Ilmajoki,2022,288
Ilomantsi,1970,230
Ilomantsi,1980,542
Ilomantsi,1990,1233
Ilomantsi,1995,1613
Ilomantsi,2000,1692
Ilomantsi,2005,1779
Ilomantsi,2010,1868
Ilomantsi,2015,1937
Ilomantsi,2020,1805
Ilomantsi,2021,1798
Ilomantsi,2022,1802
Imatra,1970,34
Imatra,1980,98
Imatra,1990,187
Imatra,1995,202
Imatra,2000,199
Imatra,2005,197
Imatra,2010,195
Imatra,2015,188
Imatra,2020,225
Imatra,2021,223
Imatra,2022,204
Inari,1970,374
Inari,1980,667
Inari,1990,1417
Inari,1995,1737
Inari,2000,1886
Inari,2005,2309
Inari,2010,2426
Inari,2015,2619
Inari,2020,3182
Inari,2021,3213
Inari,2022,3246
Inkoo,1970,995
Inkoo,1980,1331
Inkoo,1990,1551
Inkoo,1995,1645
Inkoo,2000,1842
Inkoo,2005,2052
Inkoo,2010,2217
Inkoo,2015,2236
Inkoo,2020,2499
Inkoo,2021,2495
Inkoo,2022,2498
Isojoki,1970,48
Isojoki,1980,101
Isojoki,1990,209
Isojoki,1995,399
Isojoki,2000,394
Isojoki,2005,317
Isojoki,2010,316
Isojoki,2015,310
Isojoki,2020,223
Isojoki,2021,224
Isojoki,2022,231
Isokyrö,1970,86
Isokyrö,1980,155
Isokyrö,1990,244
Isokyrö,1995,263
Isokyrö,2000,269
Isokyrö,2005,253
Isokyrö,2010,261
Isokyrö,2015,266
Isokyrö,2020,225
Isokyrö,2021,226
Isokyrö,2022,227
Janakkala,1970,698
Janakkala,1980,962
Janakkala,1990,1353
Janakkala,1995,1486
Janakkala,2000,1614
Janakkala,2005,1741
Janakkala,2010,1773
Janakkala,2015,1837
Janakkala,2020,1824
Janakkala,2021,1838
Janakkala,2022,1877
Joensuu,1970,871
Joensuu,1980,1517
Joensuu,1990,2780
Joensuu,1995,3169
Joensuu,2000,3279
Joensuu,2005,3408
Joensuu,2010,3620
Joensuu,2015,3674
Joensuu,2020,3411
Joensuu,2021,3407
Joensuu,2022,3411
Jokioinen,1970,87
Jokioinen,1980,187
Jokioinen,1990,301
Jokioinen,1995,320
Jokioinen,2000,305
Jokioinen,2005,322
Jokioinen,2010,324
Jokioinen,2015,319
Jokioinen,2020,268
Jokioinen,2021,268
Jokioinen,2022,268
Jomala,1970,200
Jomala,1980,361
Jomala,1990,349
Jomala,1995,365
Jomala,2000,358
Jomala,2005,366
Jomala,2010,364
Jomala,2015,360
Jomala,2020,401
Jomala,2021,396
Jomala,2022,393
Joroinen,1970,434
Joroinen,1980,589
Joroinen,1990,1057
Joroinen,1995,1120
Joroinen,2000,1148
Joroinen,2005,1215
Joroinen,2010,1254
Joroinen,2015,1276
Joroinen,2020,1193
Joroinen,2021,1183
Joroinen,2022,1183
Joutsa,1970,491
Joutsa,1980,1007
Joutsa,1990,1684
Joutsa,1995,2148
Joutsa,2000,2321
Joutsa,2005,2413
Joutsa,2010,2446
Joutsa,2015,2523
Joutsa,2020,2472
Joutsa,2021,2470
Joutsa,2022,2478
Juuka,1970,224
Juuka,1980,559
Juuka,1990,1306
Juuka,1995,1516
Juuka,2000,1570
Juuka,2005,1678
Juuka,2010,1741
Juuka,2015,1853
Juuka,2020,1665
Juuka,2021,1683
Juuka,2022,1681
Juupajoki,1970,117
Juupajoki,1980,194
Juupajoki,1990,307
Juupajoki,1995,356
Juupajoki,2000,417
Juupajoki,2005,437
Juupajoki,2010,451
Juupajoki,2015,485
Juupajoki,2020,469
Juupajoki,2021,470
Juupajoki,2022,472
Juva,1970,508
Juva,1980,1042
Juva,1990,1620
Juva,1995,1761
Juva,2000,1937
Juva,2005,2004
Juva,2010,2063
Juva,2015,2156
Juva,2020,2099
Juva,2021,2101
Juva,2022,2090
Jyväskylä,1970,1738
Jyväskylä,1980,2340
Jyväskylä,1990,3332
Jyväskylä,1995,3574
Jyväskylä,2000,3786
Jyväskylä,2005,3967
Jyväskylä,2010,3982
Jyväskylä,2015,3978
Jyväskylä,2020,3802
Jyväskylä,2021,3786
Jyväskylä,2022,3748
Jämijärvi,1970,77
Jämijärvi,1980,178
Jämijärvi,1990,271
Jämijärvi,1995,283
Jämijärvi,2000,273
Jämijärvi,2005,308
Jämijärvi,2010,333
Jämijärvi,2015,353
Jämijärvi,2020,329
Jämijärvi,2021,332
Jämijärvi,2022,334
Jämsä,1970,1661
Jämsä,1980,2512
Jämsä,1990,3587
Jämsä,1995,4118
Jämsä,2000,4794
Jämsä,2005,5137
Jämsä,2010,4044
Jämsä,2015,4109
Jämsä,2020,4436
Jämsä,2021,4433
Jämsä,2022,4428
Järvenpää,1970,197
Järvenpää,1980,114
Järvenpää,1990,106
Järvenpää,1995,108
Järvenpää,2000,94
Järvenpää,2005,93
Järvenpää,2010,77
Järvenpää,2015,70
Järvenpää,2020,103
Järvenpää,2021,91
Järvenpää,2022,90
Kaarina,1970,713
Kaarina,1980,769
Kaarina,1990,869
Kaarina,1995,894
Kaarina,2000,908
Kaarina,2005,858
Kaarina,2010,792
Kaarina,2015,771
Kaarina,2020,758
Kaarina,2021,754
Kaarina,2022,750
Kaavi,1970,165
Kaavi,1980,482
Kaavi,1990,920
Kaavi,1995,1041
Kaavi,2000,1093
Kaavi,2005,1176
Kaavi,2010,1192
Kaavi,2015,1253
Kaavi,2020,1223
Kaavi,2021,1220
Kaavi,2022,1221
Kajaani,1970,809
Kajaani,1980,1009
Kajaani,1990,1548
Kajaani,1995,1680
Kajaani,2000,1730
Kajaani,2005,1736
Kajaani,2010,1745
Kajaani,2015,1749
Kajaani,2020,1648
Kajaani,2021,1651
Kajaani,2022,1658
Kalajoki,1970,611
Kalajoki,1980,764
Kalajoki,1990,1144
Kalajoki,1995,1366
Kalajoki,2000,1580
Kalajoki,2005,1811
Kalajoki,2010,1890
Kalajoki,2015,1973
Kalajoki,2020,2234
Kalajoki,2021,2226
Kalajoki,2022,2221
Kangasala,1970,2278
Kangasala,1980,2616
Kangasala,1990,3298
Kangasala,1995,3857
Kangasala,2000,4247
Kangasala,2005,4206
Kangasala,2010,4498
Kangasala,2015,4626
Kangasala,2020,4506
Kangasala,2021,4502
Kangasala,2022,4486
Kangasniemi,1970,803
Kangasniemi,1980,1773
Kangasniemi,1990,2798
Kangasniemi,1995,3030
Kangasniemi,2000,3261
Kangasniemi,2005,3631
Kangasniemi,2010,3669
Kangasniemi,2015,3735
Kangasniemi,2020,3605
Kangasniemi,2021,3598
Kangasniemi,2022,3593
Kankaanpää,1970,270
Kankaanpää,1980,405
Kankaanpää,1990,732
Kankaanpää,1995,836
Kankaanpää,2000,906
Kankaanpää,2005,966
Kankaanpää,2010,974
Kankaanpää,2015,989
Kankaanpää,2020,844
Kankaanpää,2021,839
Kankaanpää,2022,831
Kannonkoski,1970,138
Kannonkoski,1980,300
Kannonkoski,1990,526
Kannonkoski,1995,643
Kannonkoski,2000,700
Kannonkoski,2005,778
Kannonkoski,2010,799
Kannonkoski,2015,812
Kannonkoski,2020,840
Kannonkoski,2021,837
Kannonkoski,2022,842
Kannus,1970,17
Kannus,1980,24
Kannus,1990,66
Kannus,1995,78
Kannus,2000,87
Kannus,2005,123
Kannus,2010,129
Kannus,2015,126
Kannus,2020,106
Kannus,2021,113
Kannus,2022,115
Karijoki,1970,16
Karijoki,1980,29
Karijoki,1990,80
Karijoki,1995,101
Karijoki,2000,120
Karijoki,2005,91
Karijoki,2010,107
Karijoki,2015,108
Karijoki,2020,95
Karijoki,2021,96
Karijoki,2022,95
Karkkila,1970,390
Karkkila,1980,549
Karkkila,1990,798
Karkkila,1995,880
Karkkila,2000,956
Karkkila,2005,958
Karkkila,2010,959
Karkkila,2015,951
Karkkila,2020,975
Karkkila,2021,976
Karkkila,2022,973
Karstula,1970,172
Karstula,1980,310
Karstula,1990,535
Karstula,1995,643
Karstula,2000,768
Karstula,2005,858
Karstula,2010,883
Karstula,2015,925
Karstula,2020,873
Karstula,2021,873
Karstula,2022,873
Karvia,1970,73
Karvia,1980,124
Karvia,1990,235
Karvia,1995,290
Karvia,2000,312
Karvia,2005,351
Karvia,2010,363
Karvia,2015,375
Karvia,2020,342
Karvia,2021,341
Karvia,2022,340
Kaskinen,1970,154
Kaskinen,1980,137
Kaskinen,1990,164
Kaskinen,1995,179
Kaskinen,2000,178
Kaskinen,2005,188
Kaskinen,2010,178
Kaskinen,2015,163
Kaskinen,2020,169
Kaskinen,2021,167
Kaskinen,2022,167
Kauhajoki,1970,172
Kauhajoki,1980,256
Kauhajoki,1990,395
Kauhajoki,1995,433
Kauhajoki,2000,478
Kauhajoki,2005,532
Kauhajoki,2010,567
Kauhajoki,2015,577
Kauhajoki,2020,581
Kauhajoki,2021,582
Kauhajoki,2022,590
Kauhava,1970,191
Kauhava,1980,213
Kauhava,1990,659
Kauhava,1995,844
Kauhava,2000,987
Kauhava,2005,1061
Kauhava,2010,1057
Kauhava,2015,1067
Kauhava,2020,1044
Kauhava,2021,1041
Kauhava,2022,1040
Kauniainen,1970,14
Kauniainen,1980,4
Kauniainen,1990,3
Kauniainen,1995,3
Kauniainen,2000,2
Kauniainen,2005,0
Kauniainen,2010,0
Kauniainen,2015,0
Kauniainen,2020,0
Kauniainen,2021,0
Kauniainen,2022,0
Kaustinen,1970,34
Kaustinen,1980,34
Kaustinen,1990,108
Kaustinen,1995,146
Kaustinen,2000,167
Kaustinen,2005,182
Kaustinen,2010,188
Kaustinen,2015,189
Kaustinen,2020,204
Kaustinen,2021,205
Kaustinen,2022,209
Keitele,1970,54
Keitele,1980,141
Keitele,1990,297
Keitele,1995,390
Keitele,2000,416
Keitele,2005,418
Keitele,2010,433
Keitele,2015,430
Keitele,2020,406
Keitele,2021,396
Keitele,2022,400
Kemi,1970,185
Kemi,1980,196
Kemi,1990,279
Kemi,1995,266
Kemi,2000,260
Kemi,2005,295
Kemi,2010,314
Kemi,2015,304
Kemi,2020,343
Kemi,2021,347
Kemi,2022,349
Kemijärvi,1970,265
Kemijärvi,1980,600
Kemijärvi,1990,1332
Kemijärvi,1995,1578
Kemijärvi,2000,1750
Kemijärvi,2005,1938
Kemijärvi,2010,1961
Kemijärvi,2015,2018
Kemijärvi,2020,2101
Kemijärvi,2021,2108
Kemijärvi,2022,2115
Keminmaa,1970,154
Keminmaa,1980,204
Keminmaa,1990,483
Keminmaa,1995,538
Keminmaa,2000,507
Keminmaa,2005,500
Keminmaa,2010,517
Keminmaa,2015,520
Keminmaa,2020,521
Keminmaa,2021,523
Keminmaa,2022,525
Kemiönsaari,1970,1318
Kemiönsaari,1980,2221
Kemiönsaari,1990,3126
Kemiönsaari,1995,3423
Kemiönsaari,2000,3863
Kemiönsaari,2005,4394
Kemiönsaari,2010,4575
